Content;Likes;Date;Location
(3/4): Climate Change AdaptationClimate change hits poor communities hardest, even though they least contribute to it. The unpredictable rain, the heatwaves and the cyclones that are the consequence of our warming planet devastate the crops and incomes of those who cannot afford any such thing to happen.It is widely acknowledged that the planting of trees helps mitigate climate change. As they grow, trees remove carbon dioxide from the air and in turn release oxygen, the common currency of all life. But trees also help farmers adapt to climate change on a more local level. Surrounding a field with trees creates a microclimate that protects the crops against irregular rainfall and temperature extremes.This tree superpower – creating a climatic buffer zone – has clearly manifested itself on our tree-planting site in the San Martin region, #Peru, an area that was heavily deforested in the 80s. Before the trees were planted, the local cocoa harvest suffered from unpredictable weather and from a lack of shade. Today, the cocoa fields are increasingly surrounded by Pino Chuncho trees, Cedro Rosado trees, as well as many other shade-givers, and the cocoa yields — many farmers’ sole source of income — have started to improve.#Trees #Reforestation #ClimateAction #Green #Sustainability #Climate #ClimateChange #Development;413 likes;April 1, 2017;
(2/4) Forest ProductsThe forest provides an abundance of products to its human residents, ranging from nuts, berries, fruits, mushrooms, herbs and spices to biofuel, gums, oils, cork, peat and rubber. In Peru, where we support the Pur Projet reforestation programme, these forest products yield a higher net revenue per hectare than timber harvest would. After these forest products are processed, their value further increases.#Trees #Reforestation #ClimateAction #Green #Sustainability #Climate #ClimateChange #Development;442 likes;March 31, 2017;
Some of you have asked us ‘why don’t you help people in need instead of planting trees?’ Thankfully, that’s not a choice we ever had to make. While it might not seem immediately obvious, there are actually powerful links between reforestation and supporting people in need. Over the next four days, we’ll share four ways trees lift people out of poverty. (1/4) AgricultureTrees regulate the water cycle and prevent erosion. They regulate the temperature of the air and earth, and make moisture available to crops. They prevent soil salinization, shield crops from violent winds, and produce nutrients for all that grows around them. By providing a habitat for bees and other pollinating animals, they also contribute to crop fertilization.Picture by Beeldkas/OZG#Trees #Reforestation #ClimateAction #Africa #Green #Sustainability #Climate #ClimateChange #Development;474 likes;March 30, 2017;Burkina Faso
Today you helped us reach the astonishing number of 7,000,000 real trees planted.From the communities on the ground to you: Thank you, Ecosians.#Trees #Reforestation #Indonesia #Madagascar #Peru #BurkinaFaso #LatinAmerica #AmericaLatina #Africa #Asia #Empowerment #ClimateAction #SaveThePlanet #Green #Sustainability;;March 29, 2017;
In many areas of the world, women run the house economies. Together with our tree planting partners, we at Ecosia make sure these women are fairly compensated for taking on the biggest chunk of the work.Picture by Beeldkas/OZG;460 likes;March 24, 2017;
At Ecosia we will only support tree planting projects the local communities consent to. In Burkina Faso that will typically mean that our partners will first communicate with the decision makers of the village to discuss whether they agree with the project in the first place. They will then discuss what tree species it makes most sense to plant, both from an ecological and socio-economic perspective.Picture by Beeldkas/OZG;290 likes;March 23, 2017;
Planting trees will bring an additional income to the community who can then invest it in the future: sending children back to school one day.Picture by Beeldkas/OZG#Trees #Sustainability #ClimateAction #Development #Children #Education;461 likes;March 22, 2017;
Happy #InternationalForestDayA message from Siles, one of the cocoa farmers planting trees with our partners in #Peru.;;March 21, 2017;
Swipe left for fresh pictures from our partners in #Madagascar!  The saplings grown in the nurseries are planted into the earth during the rainy season to make sure they get their first sip of water.#Trees #Reforestation #ClimateAction #Africa #Green #Sustainability #Climate #ClimateChange #Development;567 likes;March 20, 2017;
More searches, more trees: Ecosia is now also supporting an exciting tree-planting project in Borneo, INDONESIA! (link in bio)Thank you so much for making this possible 💚;801 likes;March 10, 2017;
That’s 10k of you helping us spread the word for a greener world.Thank you for believing in a better world where everyone has fair access to food, water and education. Because that’s the power of trees.Link in bio.#Trees #Reforestation #FollowMe #ClimateAction #Climate #ClimateChange #10kFollowers;661 likes;March 9, 2017;
Celebrate with us #InternationalWomensDay and the equality that tree planting brings to women all over the world.How so? Click the link on our bio to find out. 💪;396 likes;March 8, 2017;
How do we decide where to plant trees? Click on the LINK IN THE BIO to hear Pieter explain our rough guidelines when choosing projects. Our goal? Reforesting the planet in a way that is beneficial to both people and nature.#trees #reforestation #climateaction #sustainability #sustainable #follow #followme;342 likes;February 22, 2017;
A big tree hug to the awesome team at @tentsile for sending this tent to the Ecosia team. We're working on planting those trees to substitute the columns 😉 #Tent #Outdoor #Trees #TreeHugs #Green #Sustainability #IndoorParadise #MillenialsAtWork;358 likes;February 17, 2017;
So far, we've travelled to our planting projects in Burkina Faso and Madagascar to show you how your searches are bringing change to the world. A view from behind the camera.;;February 14, 2017;
If we count all our tree planting partners together, in January, February and March we will plant around 650.000 trees in each of those months.That's all of your searches paying out. Thanks, Ecosians!;638 likes;February 3, 2017;
Fresh pictures from Madagascar: The tree nursery your searches helped us set up roughly 4 months ago looks pretty good 😊;579 likes;February 2, 2017;
Planting Mangrove forests is relatively simple. Visiting the sites is a muddy affair. Link in our bio for the whole story.;;January 20, 2017;
This was the Ecosia team in 2013. We’ve come a long way since Shannon, Greg, Christian, Piotr and Justus prepared the ground for a successful search engine that plants trees. And none of it would have worked without your trust, support and always honest feedback. Thank you, Ecosians, for proving that a better world is possible if we dare dream it, if we each just add our little grain of sand.To see our current team, copy/paste this link: https://info.ecosia.org/about;428 likes;January 16, 2017;
#WhyTrees? (5/5)Trees have the power to mitigate climate change. How so? With a sustainable and fair business model based on tree planting, communities will make anything in their power to protect forests - their very source of income. This will have a positive effect on the worldwide climate (as well as on the preservation of flora and fauna).;244 likes;January 13, 2017;
Why trees? (4/5) Around 25% of the world population relies on forest resources for their livelihoods. Planting trees makes soils more fertile for local populations to grow food as well as herbs for their cattle. Now they can also sell food & other forest goods in the local markets and invest the money in their health and future.;;January 12, 2017;
#WhyTrees? (3/5)Trees restore water cycles. They take water from the ground and release it back into the atmosphere. Leaves also play an important role by catching rainfall, which then evaporates causing rain precipitations somewhere else (this is what scientists call evapo-transpiration).;;January 11, 2017;
#WhyTrees (2/5) Trees restore barren soils. This little fella was planted in Burkina Faso with the help of your searches in mid 2015. It looks small from the outside but it is already growing roots that go about 2 meters deep. Thanks to these, it will start pumping ground water up and down along useful minerals for the benefit of other trees or plants around it and, with time, making the soil fertile again.;;January 10, 2017;
#WhyTrees? (1/5)Deforestation is among the top 5 biggest causes of climate change. Less trees means less CO2 absorption from the atmosphere. It means soils are left unprotected under the hot sunlight, eventually becoming barren and useless for both humans and nature.#Deforestation #Sustainability #Trees #Alternative #Green #GreenLiving #SearchEngine #ClimateAction #ClimateChange #EarthWarming #Environment;352 likes;January 9, 2017;
It’s when children need to worry about nothing but their next dream that a community knows it is going in the right direction.;287 likes;January 6, 2017;
This is Mahajanga, in Madagascar. The different patches of trees disconnected from each-other are a consequence of deforestation. That's what we want to change: After growing for at least 3 months in nurseries, the trees will be planted into the earth to reconnect those natural forest corridors. These are vital for animal species - such as Lemurs - to travel back and forth in search for food and shelter.;;January 4, 2017;
Nothing feels better than watering the roots of your own future and that of your community.;269 likes;January 3, 2017;
More tree planting means more jobs for their parents and more playing time for them.#TreePlanting #Community #Empowerment #Children #TimeForChildren #Madagascar #Reforestation;363 likes;January 2, 2017;
These are the people restoring our soils, changing the world, #OneTreeAtATime;;December 30, 2016;
The best way to predict the future is to create it. #OneTreeAtATime;421 likes;December 29, 2016;
2016 was an eventful year for various reasons, not all of them pleasant. However, if this year has helped us understand anything, it is the following: Together, we can make amazing things happen. Link in bio for the entire story.;;December 28, 2016;
The power of community is when everyone comes together to change what they were told couldn’t be changed.#Reforestation #Community #Madagascar #ClimateAction;273 likes;December 26, 2016;
This is how we think we can preserve the forests you are helping us plant:Juliette only recently started planting trees with our partners in Madagascar. What she likes most about the project? She's just grateful to have a job. Members of neighbouring communities that have been working with our partners for years see their work as part of the bigger picture: They're proud to be part of a project with long-term benefits for humans and nature.;200 likes;December 20, 2016;
Christian, founder of Ecosia, answered your top 10 FAQs in a video. Link in bio.You have more questions? Discover our Knowledge Base: https://ecosia.zendesk.com/hc/en-us;;December 19, 2016;
The trees grow in the nursery for at least 3 months and are then planted into the earth just before the rainy season in January. These are the trees you helped us finance in Madagascar, 2 months later.#Trees #Madagascar #Africa #Nursery #TreeNursery #Sustainability #ClimateAction #ClimateChange #Environment #weather;317 likes;December 15, 2016;
Your searches unleash a chain of positive effects: We finance planting projects > Communities start reforesting their lands > Women like Mariam earn an income of their own. For example, through the collection of “bengre” - beans, in Mooré - that can now grow again thanks to a more fertile soil that the planting of trees has triggered.#Trees #TreePlanting #BurkinaFaso #Africa #Haricot #Moore #Mossi #WesternAfrica #Reforestation #Deforestation #Sustainability #ClimateAction #Agroforestry #Agriculture;267 likes;December 13, 2016;
This is Pedro proudly showing you one of the pine tree species, Chuncho, that he planted during the last rainy season and that is growing quite fast. He planted 400 additional ones this year. Together with his community in the San Martín region in Peru he is helping protect the Amazon: http://search.ecosia.org/DSFbX#Trees #Reforestation #LatinAmerica #Peru #Amazon #ClimateAction #Pine #PineTree #Deforestation #Environment #Green;251 likes;December 12, 2016;
7 years.5.7 million trees.2.5 million users and growing.A warm THANK YOU from the Ecosia team: https://info.ecosia.org/about#Trees #sustainability #SearchMarket #thankyou #ClimateAction;378 likes;December 8, 2016;
There is no greater lesson for us than the ones we learn from the communities on the ground. Like in Yilou, where they taught us that it is the power of a tight community that is bringing the tree planting project forward. Thanks for teaming up with us.#BurkinaFaso #Africa #Reforestation #Climate #ClimateMitigation #Green #Sustainability #CommunityPower;290 likes;December 7, 2016;
Turn your volume up: We just came back from visiting the inspiring communities planting trees in Mahajanga, Madagascar. This is the first nursery financed through your searches! 🌲🌳🌱;;December 6, 2016;
The San Martin region in Peru holds a big chunk of the Amazon forest, a hotspot of biodiversity. Once ruled by the drug mafia, it suffered intensive deforestation for the production of cocaine. Now, farmers have turned to producing cocoa instead, creating an agroforestry system that will help reforest and protect the Amazon in Peru. Link to the VIDEO in our BIO.;402 likes;December 5, 2016;
Underneath the soil lie two thirds of earth’s species. The key to their survival are big, healthy trees that can provide shade from the sun, pump water back and forth along with important minerals. Less trees means less of that, which means barrens soils. That’s why we plant trees.;285 likes;December 2, 2016;
Ifa can earn an income of her own thanks to the planting of trees. She sells the fruits of the trees in the local market and can then invest in her and her family's health in return. That's why we empower people to plant trees.;243 likes;November 30, 2016;
Greetings from Madagascar, where your searches are helping us support the building of a green belt that is key to the protection and survival of Lemur species. Like this little fella we recently met 😍;;November 29, 2016;
"Lilengo is a small town in Burkina Faso; one of 196 countries in the world. But every single child brought back to school is worth the common effort of her community, our planting partners and your change of habit to Ecosia.";248 likes;November 28, 2016;
Passing the powerful Mount Kilimanjaro on our way to Antananarivo, Madagascar. #treeplantingofficer #kenia #longtrip;334 likes;November 27, 2016;
"""Old habits die hard"" they say. But you gave yours up for Ecosia to plant trees, which brings prosperity; that means less worries, which means more smiles. Thanks for giving.#GiveBackFriday #BlackFriday #SocialChange #Trees #TreePlanting #TheFutureIsNow";193 likes;November 25, 2016;
Bags packed, smile on - Pieter is ready for his trip to Madagascar to visit our tree planting partners and the local communities reforesting our planet. Over the next few days we will introduce you to them. Link in bio.;;November 24, 2016;
More trees = better soils = more food for the population. And you're contributing to this, with your searches and spreading the word. Thank you!;267 likes;November 23, 2016;
Every tree you help us plant makes people smile. Like here in Madagascar.Learn more at: https://info.ecosia.org/project;329 likes;November 22, 2016;
Arcadio’s parents too made a living out of forest goods. But he wants to do it better. Him and his community are fully committed to a sustainable use of soils, plants and forests.#Trees #Peru #AmericaLatina #SouthAmerica #Reforestation #Deforestation #Earth #Planet #Climate #Soils #Sustainability #Sustainable #Alternatives;275 likes;November 21, 2016;
If you were a young tree in one of Ecosia's planting sites in Burkina Faso, this is what you would see. Yes, it's a bit warm but thanks to the half-moon shaped pit you're in, you have actually drank all the water you need during the last rainfall and now feel energised.;392 likes;November 16, 2016;
“It’s not that planting trees is giving us food or money today. It’s making sure we can give both of it to ourselves today, tomorrow, forever”, she told us.#TreePlanting #Women #Empowerment #Africa #BurkinaFaso #WestAfrica #Reforestation #Deforestation #Trees #Development #Sustainability #Earth #Planet #Green #Climate;279 likes;November 15, 2016;
(3/3) Pieter has never been happier to see rain. Find out why in this final episode of Pieter’s series on how we’re planting trees in Burkina Faso.;;November 10, 2016;
Even in the worse of situations, Sawadogo has hope.Deforestation has made the soils in her village difficult to grow food on. But she decided to smile and lead her entire community with her. One tree at a time.;288 likes;November 9, 2016;
(2/3) The tree planting method our partners in Burkina Faso use is brilliant because of its simplicity. And because it works. This is episode 2 of 3.;;November 8, 2016;
(1/3) This week we're taking you to Burkina Faso. Join this trip with Pieter to learn why our partner's tree planting methodology works, even in one of the driest spots on earth.This is episode 1 of 3.;;November 7, 2016;Burkina Faso
That’s Pieter dancing with a hero. Thanks to Sawadogo her community now has a better chance to raise itself from poverty because she convinced them all of the benefits of planting trees.#Trees #Reforestation #BurkinaFaso #Africa #Deforestation #ClimateSolutions #ClimateChange #Planet #Earth #Green #Alternative #Search #TechForGood #Change;271 likes;November 4, 2016;
By empowering women you're empowering entire communities. Trees improve the soil, which allows women to grow herbs and other plants for healthier and tastier meals.#Trees #BurkinaFaso #Africa #Climate #Soils #Reforestation #Deforestation #Plants #Herbs #Nutrition #Women #Empowerment;287 likes;November 3, 2016;
How will the forests you're growing change your life and that of your family? Are you already feeling the changes? - Stay tuned for the full interview.;222 likes;November 2, 2016;
Another side effect of your searches: protecting Lemur's species in Madagascar.;407 likes;November 1, 2016;
Your searches help us plant trees. As they grow, the soil starts improving & the herbs planted next to them grow faster. Aminata then collects herbs and carefully selected branches for her household. That makes her smile.#Trees #Treeplanting #BurkinaFaso #Deforestation #Earth #ClimateChange #Climate #happy #photoftheday #picoftheday #instadaily #Nature;312 likes;October 31, 2016;
Deforestation has destroyed local climates, jobs and livelihood. Planting trees is empowering communities to take back what’s theirs: their future.#Trees #Treeplanting #Peru #Reforestation #Sustainable #Sustainability #Search #Tech #Plants #Planting #Earth #SouthAmerica;430 likes;October 28, 2016;
When you need to stop recording because the representative of the women asks you out to dance 👯We didn't speak the same language but we sure understood each-other through the universal language of joy.;;October 27, 2016;
Ime is one of the only girls in her town in Burkina Faso that goes to school. The more trees, the more friends will join her in class. This is how: http://search.ecosia.org/m0cu5 (same link in bio);204 likes;October 26, 2016;
Lucie and her mom used a recycled envelope and sheet of paper to send us this message: “Thank you very much for planting all those trees and for watering them”. ❤️ Thank YOU.;304 likes;October 25, 2016;
And the work continues in Madagascar. That's right, your first tree nursery is up and running!;283 likes;October 24, 2016;
Learning from our local planting partners in #BurkinaFaso how and why trees grow in a semi-desertic area. Thank you for making this possible with you seraches.;267 likes;October 21, 2016;
No matter where you live. More trees means better time with people you call friends. Except when annoying adults come to take pictures. Then you line up neatly.;325 likes;October 20, 2016;
At 90 years he’s Yilou’s community eldest. He still remembers the healthy forests that previously stood around his village and has seen generations after that struggling with the consequences of deforestation. That’s exactly what your searches are here to change.;245 likes;October 19, 2016;
We've been grabbing some great moments with the women of Gongho, Burkina Faso. Stay tuned to learn how tree planting is already changing their lives.#BurkinaFaso #Reforestation #Trees #Treeplanting #Climate #Earth #Women #Empowerment #Sustainability;;October 18, 2016;
These are the landscapes in Peru your searches will help protect.#Landscape #Trees #Conservation #Reforestation #TreePlanting #Peru #AmericaLatina;272 likes;October 17, 2016;
We're preparing stocks of popcorn for #planetearth2 ☺☺☺ #Earth #Climate #davidattenborough #Twitter;;October 16, 2016;
Your searches recently started supporting tree planting in Madagascar, and here's the population already planting trees 🌳🌳🌳;269 likes;October 14, 2016;
We started planting trees in Burkina Faso in late 2014. It's touching to hear about the improvements the women in all villages say they're already feeling. Stay tuned for more on Pieter's recent trip to Burkina Faso.;242 likes;October 13, 2016;
The common effort between the local communities, our tree-planting partners and your searches all come together to make the magic happen.;328 likes;October 11, 2016;
Now that's how you treat trees 😊;317 likes;October 10, 2016;
Happy #WorldSmileDay ! Thanks for drawing a smile on our faces every day 😊#Smile #Joy #Trees #Eco #Green #Ecolo #Optimism #Positive;276 likes;October 7, 2016;
To avoid dependencies, seeds are collected locally. Communities can then sell them to each-other, creating an additional source of income for themselves.;178 likes;October 6, 2016;
Because it’s not just about planting the trees and leaving. It’s about monitoring, making sure the trees are growing and healthy and create a sustainable system for the sake of nature and people.More info on the project of our partners in Peru: http://www.purprojet.com/project/alto-huayabamba/#Trees #Eco #Globe #Green #GoGreen #Reforestation #Tech #TechForGood #Peru #AmericaLatina #LatinAmerica #TreePlanting #Deforestation #Conservation;267 likes;October 5, 2016;
Happy #WorldAnimalDay ! Your searches are supporting our partners in Madagascar. The growing forests are not only empowering local communities, they're also protecting species like this wonderful brown lemur.;322 likes;October 4, 2016;
"The reforestation efforts of her community surround her by nature, which she will surely grow to love and protect; creating a sustainable future for Peru and an example to follow for the world.";217 likes;October 3, 2016;
It’s fascinating how much the planting of trees can do. Communities are empowered to earn a living of their own while their microclimate is slowly restored.#Trees #Treeplanting #Reforestation #Eco #Globe #Earth #BurkinaFaso #Empowerment #Women;250 likes;September 30, 2016;
Forests improve entire #microclimates, protecting #biodiversity and bringing natural food sources back for the communities. Obviously, our tree-planting partners’ program makes sure these sources are used moderately and in a sustainable way.;186 likes;September 29, 2016;
We need more countries to ratify - and act - faster.;202 likes;September 28, 2016;
Here's to a world where every single person is empowered to take their lives in their own hands.#TreePlanting #Communities #Community #Trees #Reforestation #Peru #Madagascar #BurkinaFaso #Search #Alternative #Empowerment #Development #Green;163 likes;September 27, 2016;
We re-discovered this very important article on the importance of protecting our soils if we truly want to create a better world.Copy, paste and share: http://bit.ly/2dw99zE#Trees #Reforestation #Deforestation #Ecology #Ecologic #Savetheplanet #Planet #Soil #Earth #Eco #TheGuardian;230 likes;September 26, 2016;
Your decision to switch to Ecosia is giving children in #BurkinaFaso a reason to smile. These little sisters are from Zimtanga. Their village eldests decided to participate in the planting-program our partners at OZG are helping develop on the ground. As time goes by we’ll be able to show you the results of the communities’ reforestation efforts. The first impact is clear: Smiles. (Picture by OZG/Beeldkas)#Trees #Reforestation #Africa #Twitter;264 likes;September 22, 2016;
You can now SHARE YOUR TREE COUNTER with the world 😊;;September 21, 2016;
"""Wild maple and beech trees figure out when roe deer are eating them - and enact a strategy to make sure the critters don't return for another snack [...] Whenever a branch is snipped [...] trees released ""wound hormones"" called jasmonates. [...] When one plant releases jasmonates, their neighbors start to ramp up their defenses against disease and insect attacks as well. It's like a forest-wide alarm system"" [The Washington Post]";180 likes;September 20, 2016;
Just a wonderful creature your searches are helping protect. For our tree-planting partners in #Peru not only plant trees, they also protect existing forests, home to millions of species.;258 likes;September 19, 2016;
If you had ONE QUESTION, what would you ask the local communities in Burkina Faso that your searches are helping us empower?;151 likes;September 16, 2016;
Our new tree-planting partners in Peru work together with local cooperatives to reforest the area and establish new income models for the local population. For example, beekeeping.#Trees #Treeplanting #Reforestation #AmericaLatina #Peru #Reforestacion #Green #GoGreen #Bees #Beekeeping #Honey;213 likes;September 14, 2016;
The more you empower local communities to take ownership of their lands, the more they protect their trees and, in return, the more sustainable Ecosia’s effort to reforest the planet becomes. And all just with your help searching the web.#Trees #Sustainability #Forest #ForestManagement #AmericaLatina #LatinAmerica #Peru #TreePlanting #Reforestation #Deforestation #Empowerment #Community;167 likes;September 12, 2016;
We continue celebrating the 5,000,000 planted trees with a small present for our users: Check out the doodle on www.ecosia.org#Trees #Goals #Treeplanting;;September 9, 2016;
5,000,000 trees planted with your searches. This is how Ecosia users are changing the world. #TheJourneyContinues and today we celebrate you: link in bio 🌳🌳🌳 #Trees #Treeplanting #BurkinaFaso #Madagascar #Peru #BCorporation #BCorp #Social #Sustainability #Reforestation #Empowerment;429 likes;September 8, 2016;
A Lemur in the remnant forest around Ecosia’s new planting sites in #Madagascar :) #Trees #Sustainability #Forest #Treenursery #Africa #Reforestation #Deforestation #Tech #SocialStartup #TechForGood #Empowerment;161 likes;September 6, 2016;
Plant trees to empower local farmers to build their own, sustainable business. For more details on the power of trees, link in bio!#Trees #TreePlanting #Peru #AmericaLatina #LatinAmerica #SouthAmerica #Reforestation #Empowerment #Cocoa #Farmers #Sustainable #Sustainability #Forestry #ForestManagement;228 likes;September 5, 2016;
Something to sweeten your #weekend: Summer #sunset in Lake Bam, #BurkinaFaso.#TreePlanting #Reforestation #Trees #Sustainable #Landscape #Sun #Africa;207 likes;September 2, 2016;
As you keep searching with Ecosia, more tree nurseries are being built in Madagascar. And the more people are empowered to earn a living of their own.#Madagascar #Africa #Trees #Treeplanting #Reforestation #Empowerment #Sustainable #Tech #TechForGood;211 likes;September 1, 2016;
A dose of optimism 😉🌴 #PositiveThinking #Optimism #Trees #TreePlanting #Motivation #Outside #Outdoors #Nature #Search #Tech #TechForGood #Africa #Peru #Twitter;282 likes;August 31, 2016;
Trees are always the beginning of a tighter community. 👬👫👭 #Trees #TreePlanting #Reforestation #Deforestation #Peru #SouthAmerica #LatinAmerica #AmericaLatina #Arbol #Arboles #Selva #Reforestacion #Deforestacion #Plantacion #Plantar #Empowerment #Community #Comunidad #Twitter;169 likes;August 30, 2016;
Here's to more contagious smiles like Eugenie's from Mahajanga, #Madagascar. She smiles at the success of the reforestation project there, which your searches are now helping us expand. #Trees #Sustainability #Reforestation #Deforestation #Forest #Mangroves #Islands #Climate #ClimateChange #Emissions #Carbon #CO2 #Africa #Development #Sustainability(Pic: The Eden Projects);170 likes;August 29, 2016;
Knowing you can look to the future with confidence because yours lays in your hands. That's the power of trees. #Peru #TreePlanting #PURProjet #Reforestation #Deforestation #Selva #Reforestacion #Development #Desarrollo #Reforestacion #Arboles #Empowerment #Perou #Sustainable #SustainabilityPic: PUR Projet;151 likes;August 26, 2016;
Trees have many benefits: They bring water back to dry regions like the Sahel in #BurkinaFaso. It's easier for communities to pump water from the earth with the roots of growing forests bringing water closer and closer to the surface.#Trees #TreePlanting #Reforestation #Deforestation #BurkinaFaso #Africa #Empowerment #Water #CleanWater #Development #Sustainability #Sustainable;157 likes;August 25, 2016;
That's all it takes. ☺#Motivation #Treeplanting #Trees #Sustainability #Sustainable #Madagascar #Peru #BurkinaFaso #Search #Alternative #SearchEngine #Tech #TechForGood #BCorp #BLab #Tutu;196 likes;August 24, 2016;
Maman'i is looking at the #trees she planted thanks to the work of our partners at The Eden Reforestation Projects in #Madagascar. With your searches on Ecosia, you're empowering Maman'i to further shape the future of her #community. 💪;126 likes;August 23, 2016;
It’s these impressive fellas you’re helping us protect.#Trees #Environment #TreePlanting #Planting #Sustainability #Sustainable #Search #Technology #Alternative;188 likes;August 22, 2016;
This is what the tree nurseries you are helping finance in Madagascar will look like in a few months time. (Picture by our partners at The Eden Projects)#NoFilter #Trees #Treeplanting #Reforestation #Madagascar #Africa #Nursery #TreeNursery #Sustainable #Sustainability;242 likes;August 19, 2016;
Your choice to change a habit - switching to Ecosia - is empowering communities in Peru, Burkina Faso and Madagascar. (Picture: Peru by our partners at PUR Projet)#Trees #Treeplanting #Reforestation #Peru #America #Americalatina #Development #Empowerment #Tech #Search #Searchengine;143 likes;August 18, 2016;
It’s already happening: Our tree-planting partners at The Eden Projects are starting to build the very first tree nursery in Antanamarina, Madagascar, financed with YOUR searches.#TreePlanting #Reforestation #Madagascar #Nursery #Trees #Mangroves #Africa #Development #Empowerement #Climate #Mitigation #Search #SearchEngine #Alternative;226 likes;August 17, 2016;
We’re excited to announce our two additional tree-planting programs in Madagascar and Peru. Copy link for more details: http://bit.ly/2awAaiA#BurkinaFaso #Madagascar #Peru #TreePlanting #Reforestation #Sustainability #Trees #TreePlanting #Empowerement #Development #Twitter;155 likes;August 16, 2016;
Plant trees and you will create a world that is environmentally, socially and economically more sustainable.#Trees #Treeplanting #Reforestation #Deforestation #CO2 #Development #Sustainable #Sustainability #SustainableFinancing #SearchEngine #Tech #Alternative #TechForGood;206 likes;August 12, 2016;
Just a few more days before we announce Ecosia's new tree-planting programs. Are you ready?#Trees #TreePlanting #Reforestation #Sustainability #Sustainable #Forest #Forests #Twitter #Search;159 likes;August 11, 2016;
Thanks for helping us protect nature. 🌳#Trees #Treeplanting #Nature #Outdoors #Motivationalquote #Reforestation #Tech #SearchEngine #Twitter;192 likes;August 10, 2016;
Love if you agree!#TreePlanting #Reforestation #Trees #Ecosia #Search #SearchEngine #Bcorp #Nature #Twitter;180 likes;August 9, 2016;
More trees = more cohesion among a self-sustaining community. (Picture: Beeldkas/OZG)#TreePlanting #Trees #Reforestation #Deforestation #BurkinaFaso #Community #Empowerment #Africa #Search #Tech #SearchEngine #Alternative;126 likes;August 8, 2016;
Planting trees not only helps the environment: Trees are the source of self-sustaining, independent communities. Copy the link to watch this entire clip by Beeldkas/OZG (2:30 minutes): http://bit.ly/1qwcm42#Trees #Treeplanting #Reforestation #Deforestation #BurkinaFaso #Africa #Empowerment #Documentary;;August 5, 2016;
We're thankful to our partners in Burkina Faso, helping children have a better future by empowering their parents to earn a living of their own. And thanks to you, for helping us finance this tree-planting program. #Thankful #Gratitude #Treeplanting #Trees #Reforestation #BurkinaFaso #Deforestation #Children #Education #EmpowerementPhoto Credit: Beeldkas/OZG;127 likes;August 4, 2016;
The time is now: info.ecosia.org/what#Trees #Treeplanting #Reforestation #Tech #Search #SearchEngine #Alternative #Green #Sustainability #Change #Twitter;158 likes;August 3, 2016;
What will you do? Comment 😊 #Trees #TreePlanting #Reforestation #Search #SearchEngine #Sustainability #Green #Nature;155 likes;August 2, 2016;
These women in Burkina Faso used to walk for miles to find food for their cattle. Now they support their local economy selling seeds and other forest goods. #TreePlanting #MicroEconomy #LocalEconomy #Empowerement #Women #Sustainability #Reforestation #Deforestation #Trees #NoFilter Picutre by Beeldkas/OZG;128 likes;August 1, 2016;
If only 10% of internet users searched with Ecosia, we could reforest the planet. #TreePlanting #Trees #Internet #Tech #TechForGood #Resforestation #Climate #ClimateChange #PositiveNews #Sustainability #SearchEngine #Alternative #AlternativeSearch;;July 29, 2016;
Our tree-planting partners pay special attention to make sure women too are active participants in the program and benefit just as much from its positive impact #Equality #TreePlanting #SustainableDevelopment #Sustainablehelp #Reforestation #Treeplanting #Burkina Faso #Africa #ClimateChange #WomenEmpowerement #Empowerement #NoFilter #Twitter;102 likes;July 28, 2016;
Thanks for the fun & interesting questions @factoryberlin link to the article: http://search.ecosia.org/kJmnA #Treeplanting #Trees #Interview #Reforestation #SearchMarket #TechForGood;97 likes;July 27, 2016;
A daily reminder of what you're helping us do. You're close to reaching 5M trees! #Trees #Treeplanting #Reforestation #chalkboard #goals #twitter;;July 26, 2016;
Can you guess where Ecosia will plant trees next? We will soon announce 2 additional tree-planting programs: http://bit.ly/2aCsaMA (Hint: trees in the first pic are mangroves and the second one... well, Ecosia it 😉) #trees #Treeplanting #reforestation #search #twitter;103 likes;July 25, 2016;
The seeds of the trees that you help us plant are collected and planted by the local population. Not all the collected seeds can be fit into one sowing season. The surplus is stored in a safe place with adequate temperatures until they can be planted in the next season or sold by the population on the local markets. Like that, we avoid creating dependencies and the populations can earn a living of their own (link: http://search.ecosia.org/CeDZM) #Treeplanting #ClimateChange #GreatGreenWall #Seeds #trees #AlternativeSearch #SearchMarket #SocialBusiness #TechForGood;137 likes;July 22, 2016;
Probably the laziest team members of all. But also the cutest. #dogs #doggy #officemates #officedog #cutenessoverload #twitter #woof;124 likes;July 21, 2016;
We recommend you watch Demain (aka Tomorrow), a very positive and inspiring movie on how individuals around the world are avoiding an environmental collapse with their ideas. Some are small, some are bigger but together they aim at creating a better world. #Demain #Tomorrow #documentary #sustainability #permaculture #education #treeplanting #oceancleanup;132 likes;July 20, 2016;
Your searches on Ecosia are not only reforesting their village. They're improving their health and giving them much more time for #school #Schooltime #education #treeplanting #trees #reforestation #alternativesearch #twitter;105 likes;July 19, 2016;
The Ecosia Team (minus a few peeps missing) smiling because you're planting a new tree every 11 seconds. Thanks! #TreePlanting #Reforestation #SearchMarket #twitter #community;;July 11, 2016;
